================================================================================
=================================[ 18/07/2022 ]=================================
================================================================================

################################################################################
	17:38:07 => 	google 			|	Disponível
	17:38:08 => 	youtube 			|	Disponível
	17:38:08 => 	facebook 			|	Disponível
	17:38:08 => 	herokuapp 			|	Disponível
################################################################################
	17:38:19 => 	google 			|	Disponível
	17:38:19 => 	youtube 			|	Disponível
	17:38:19 => 	facebook 			|	Disponível
	17:38:20 => 	herokuapp 			|	Indisponível
################################################################################
	17:38:25 => 	google 			|	Disponível
	17:38:25 => 	youtube 			|	Disponível
	17:38:25 => 	facebook 			|	Disponível
	17:38:25 => 	herokuapp 			|	Indisponível
